,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
1164,BN,AAR,AAAX,M,Dominant control,2.2,22,burrow,pm,0.07,0,20.399998
1165,BR,AAS,AAAY,F,Dominant control,2.3,10,forage,pm,0.53028,4,20.399998
1166,BS,AAS,AAAY,M,Dominant control,2.3,10,forage,am,0.51944,2,20.399998
1167,BU,AAS,AAAY,M,Dominant control,2.3,10,forage,pm,0.59222,2,20.399998
1168,BX,AAT,AAAZ,M,Dominant control,2.3,35,burrow,am,0.07556,0,12.6
1169,BZ,AAT,AAAZ,M,Dominant control,2.3,35,burrow,pm,0.10444,0,12.6
1170,CA,AAU,AABA,F,Subordinate control,2.1,25,forage,pm,0.26722,0,11.799999
1171,CB,AAU,AABA,F,Subordinate control,2.1,25,forage,pm,0.21889,3,11.799999
1172,CE,AAU,AABA,F,Subordinate control,2.1,25,forage,am,0.35722,2,11.799999
1173,CC,AAU,AABA,M,Subordinate control,2.1,25,forage,am,0.34083,0,11.799999
1174,CG,AR,AABD,F,Subordinate control,2,22,forage,pm,0.25222,0,13.999998
1175,CH,AR,AABD,M,Subordinate control,2,22,forage,pm,0.26111,0,13.999998
1176,AD,AAF,AAAI,F,Dominant treated,2,12,forage,pm,0.29722,0,102.000108
1177,AJ,AAG,AAAK,F,Dominant control,2.2,15,forage,am,0.33694,10,12.6
1178,CI,AR,AABD,F,Subordinate control,2.1,22,forage,pm,0.26,0,13.999998
1179,AR,AAI,AAAM,F,Dominant treated,2.3,33,burrow,pm,0.04167,0,29.599995
1180,BR,AAS,AAAY,F,Dominant control,2.3,10,burrow,pm,0.04194,0,20.399998
1181,BS,AAS,AAAY,M,Dominant control,2.3,10,forage,am,0.19694,1,20.399998
1182,BX,AAT,AAAZ,M,Dominant control,2.3,35,forage,am,0.34472,0,12.6
1183,CA,AAU,AABA,F,Subordinate control,2.1,25,burrow,pm,0.19889,0,11.799999
1184,CE,AAU,AABA,F,Subordinate control,2.1,25,forage,pm,0.30556,1,11.799999
1185,CC,AAU,AABA,M,Subordinate control,2.1,25,forage,am,0.37778,2,11.799999
1186,CG,AR,AABD,F,Subordinate control,2,22,forage,pm,0.25139,0,13.999998
1187,CH,AR,AABD,M,Subordinate control,2,22,forage,pm,0.24833,0,13.999998
1188,CI,AR,AABD,F,Subordinate control,2.1,22,forage,pm,0.23278,0,13.999998
