,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
1390,AB,AAE,AAAG,M,Dominant treated,2.1,15,forage,am,0.32472,1,10.2
1391,AF,AAF,AAAJ,F,Dominant control,2,10,burrow,am,0.06333,0,34.000022
1392,AG,AAF,AAAJ,F,Dominant control,2,10,forage,am,0.35417,7,34.000022
1393,AH,AAF,AAAJ,F,Dominant control,2,10,forage,pm,0.26444,1,34.000022
1394,AI,AAF,AAAI,F,Dominant treated,1.9,12,forage,pm,0.31194,0,106.000108
1395,AD,AAF,AAAI,F,Dominant treated,1.9,12,forage,am,0.30722,0,106.000108
1396,AE,AAF,AAAI,M,Dominant treated,1.9,12,forage,pm,0.25194,0,106.000108
1397,AJ,AAG,AAAK,F,Dominant control,1.9,12,forage,pm,0.24472,11,8.2
1398,AK,AAG,AAAK,M,Dominant control,2,15,forage,pm,0.2175,0,6.2
1399,AM,AAG,AAAK,M,Dominant control,2.1,15,burrow,am,0.09972,0,6.2
1400,CI,AR,AABD,F,Subordinate control,1.9,22,forage,pm,0.17361,0,13.999998
1401,AN,AAH,AAAL,F,Dominant control,2,17,forage,pm,0.125,0,20.399998
1402,AO,AAH,AAAL,F,Dominant control,2.2,22,forage,am,0.42917,0,8.2
